"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Shed Long","Mariners","30.2%","62.7%","44.6%","46.4%","77.5%","65.8%","44.2%","51.6%","15.3%","16542"
"Josh VanMeter","- - -","30.3%","56.3%","40.9%","52.5%","85.5%","71.1%","40.9%","58.2%","11.8%","15170"
"Kris Bryant","Cubs","30.3%","73.3%","47.5%","53.2%","84.1%","72.3%","40.0%","57.8%","13.2%","15429"
"James McCann","White Sox","30.5%","68.7%","47.0%","56.4%","85.8%","75.0%","43.2%","58.6%","11.8%","12859"
"Josh Bell","Pirates","30.5%","71.9%","46.0%","58.5%","77.0%","69.3%","37.3%","49.3%","14.1%","13145"
"Trevor Story","Rockies","30.6%","67.7%","45.8%","67.4%","82.9%","76.8%","40.9%","54.1%","10.6%","12564"
"David Peralta","Diamondbacks","30.6%","67.3%","46.6%","64.1%","88.4%","79.4%","43.6%","62.4%","9.6%","2136"
"Jonathan Arauz","Red Sox","30.6%","56.4%","42.1%","63.2%","90.5%","79.4%","44.5%","57.5%","8.7%","20275"
"Sandy Leon","Indians","30.7%","59.6%","41.9%","59.1%","85.2%","73.5%","38.7%","56.8%","11.1%","5273"
"Danny Santana","Rangers","30.8%","74.0%","48.1%","54.2%","68.8%","63.2%","40.0%","66.7%","17.7%","10322"
"C.J. Cron","Tigers","30.8%","69.4%","46.0%","57.5%","81.4%","71.7%","39.5%","48.1%","13.0%","12546"
"Oscar Mercado","Indians","30.8%","72.2%","48.6%","51.6%","85.1%","73.0%","43.2%","69.9%","13.1%","16375"
"Cole Tucker","Pirates","30.8%","64.9%","46.0%","52.1%","83.9%","72.1%","44.6%","61.2%","12.9%","17326"
"Giovanny Urshela","Yankees","30.8%","74.8%","48.2%","68.6%","91.4%","82.6%","39.5%","60.3%","8.4%","10681"
"Ender Inciarte","Braves","30.8%","66.7%","47.2%","70.0%","84.1%","79.1%","45.7%","64.1%","9.9%","4922"
"Daulton Varsho","Diamondbacks","30.9%","65.5%","45.8%","53.2%","81.9%","70.9%","43.1%","66.1%","13.3%","19918"
"Nick Madrigal","White Sox","30.9%","60.8%","43.6%","88.0%","95.5%","92.4%","42.7%","59.6%","3.3%","20521"
"Niko Goodrum","Tigers","31.0%","66.3%","44.5%","45.9%","75.6%","62.9%","38.3%","59.2%","16.5%","12092"
"Miguel Sano","Twins","31.0%","73.7%","47.3%","36.5%","75.4%","59.6%","38.1%","59.5%","19.1%","12164"
"Franmil Reyes","Indians","31.1%","69.7%","46.0%","48.7%","74.7%","63.9%","38.7%","58.5%","16.6%","14566"
"Nico Hoerner","Cubs","31.1%","62.1%","43.6%","67.0%","94.7%","82.9%","40.3%","54.8%","7.5%","21479"
"Joc Pederson","Dodgers","31.1%","69.8%","46.7%","58.8%","79.4%","71.2%","40.4%","61.6%","13.5%","11899"
"Bryce Harper","Phillies","31.1%","75.0%","45.7%","57.9%","84.8%","72.6%","33.3%","58.6%","12.5%","11579"
"Kurt Suzuki","Nationals","31.3%","71.2%","48.8%","69.4%","91.4%","83.5%","43.8%","66.7%","8.1%","8259"
"Garrett Cooper","Marlins","31.3%","54.6%","40.4%","68.9%","87.4%","78.7%","39.1%","55.6%","8.6%","15279"
"Bryan Reynolds","Pirates","31.3%","70.2%","46.6%","58.5%","86.6%","75.1%","39.3%","56.7%","11.6%","19326"
"Kyle Tucker","Astros","31.3%","78.2%","50.5%","69.8%","85.1%","79.5%","41.0%","57.0%","10.3%","18345"
"Starlin Castro","Nationals","31.3%","68.5%","47.1%","68.1%","89.5%","81.3%","42.5%","58.7%","8.8%","4579"
"Mike Moustakas","Reds","31.4%","71.6%","47.7%","64.2%","88.0%","78.7%","40.6%","59.5%","10.2%","4892"
"Gary Sanchez","Yankees","31.5%","62.0%","43.8%","50.3%","82.0%","68.4%","40.4%","56.7%","13.8%","11442"
"Jurickson Profar","Padres","31.5%","67.3%","46.8%","72.2%","86.7%","81.1%","42.8%","61.9%","8.8%","10815"
"Michael Perez","Rays","31.6%","67.5%","46.4%","60.3%","82.4%","73.5%","41.3%","54.8%","12.3%","12977"
"Jose Trevino","Rangers","31.6%","55.6%","41.9%","69.6%","87.8%","80.0%","42.9%","57.8%","8.4%","16725"
"Leody Taveras","Rangers","31.7%","68.0%","45.1%","64.8%","76.5%","71.3%","37.0%","68.7%","13.0%","18900"
"Nick Ahmed","Diamondbacks","31.8%","72.3%","48.0%","67.3%","80.0%","74.9%","39.9%","59.0%","12.0%","12147"
"Rio Ruiz","Orioles","31.8%","77.2%","52.0%","62.6%","82.7%","75.9%","44.5%","60.3%","12.6%","14103"
"Andrelton Simmons","Angels","31.8%","64.5%","46.7%","76.6%","90.8%","85.6%","45.6%","66.9%","6.7%","10847"
"Austin Meadows","Rays","31.8%","67.8%","46.1%","61.1%","81.4%","72.9%","39.7%","64.5%","12.5%","15672"
"Jose Marmolejos","Mariners","31.8%","62.4%","44.4%","42.9%","84.5%","67.0%","41.3%","60.0%","14.7%","15767"
"Sam Hilliard","Rockies","31.8%","68.0%","46.5%","48.4%","73.5%","63.3%","40.7%","55.3%","17.1%","17954"
"Edwin Encarnacion","White Sox","32.0%","65.5%","45.8%","57.7%","75.6%","68.2%","41.1%","59.7%","14.5%","2151"
"Derek Dietrich","Rangers","32.0%","69.0%","47.7%","57.1%","77.5%","69.7%","42.4%","60.0%","14.5%","10542"
"Tim Locastro","Diamondbacks","32.1%","57.8%","42.5%","82.0%","90.5%","86.7%","40.3%","58.5%","5.7%","15124"
"Matt Kemp","Rockies","32.1%","66.1%","43.9%","55.7%","77.6%","67.1%","34.6%","56.8%","14.4%","5631"
"Miguel Cabrera","Tigers","32.3%","72.8%","47.6%","50.0%","85.3%","70.4%","38.0%","60.2%","14.1%","1744"
"Raimel Tapia","Rockies","32.3%","73.4%","50.2%","72.1%","89.9%","83.4%","43.5%","57.3%","8.3%","14350"
"Magneuris Sierra","Marlins","32.3%","52.6%","39.8%","71.4%","95.0%","82.9%","36.9%","62.3%","6.8%","17023"
"Whit Merrifield","Royals","32.4%","72.2%","49.1%","77.5%","90.4%","85.5%","42.0%","60.4%","7.1%","11281"
"Stephen Vogt","Diamondbacks","32.4%","61.7%","45.1%","71.4%","87.8%","81.2%","43.5%","61.7%","8.5%","5000"
"Kevin Plawecki","Red Sox","32.5%","66.9%","46.6%","67.7%","95.5%","84.1%","41.0%","48.3%","7.4%","13807"
"Marcell Ozuna","Braves","32.5%","69.0%","46.3%","53.9%","83.6%","70.6%","37.8%","55.4%","13.6%","10324"
"Mike Zunino","Rays","32.5%","70.3%","46.9%","54.5%","68.6%","62.6%","38.0%","59.5%","17.5%","13265"
"Asdrubal Cabrera","Nationals","32.5%","66.6%","45.8%","67.9%","90.0%","80.5%","39.1%","56.3%","9.0%","4962"
"Andrew Velazquez","Orioles","32.5%","68.6%","45.8%","71.2%","69.1%","70.1%","36.8%","62.3%","13.7%","14196"
"Brian Anderson","Marlins","32.5%","74.6%","49.1%","54.3%","77.8%","68.3%","39.4%","63.8%","15.5%","18289"
"Grayson Greiner","Tigers","32.5%","70.0%","48.1%","51.2%","79.4%","68.3%","41.7%","70.9%","15.3%","17062"
"Pedro Severino","Orioles","32.5%","68.6%","45.9%","57.2%","87.8%","74.1%","37.0%","52.8%","11.9%","14523"
"Enrique Hernandez","Dodgers","32.7%","70.8%","49.8%","64.0%","87.6%","79.1%","45.0%","54.7%","10.4%","10472"
"Manuel Margot","Rays","32.7%","64.4%","46.3%","67.9%","83.9%","77.4%","42.9%","64.2%","10.5%","14712"
"Wilmer Flores","Giants","33.0%","69.9%","48.0%","76.6%","89.7%","84.3%","40.6%","55.4%","7.5%","5827"
"Cedric Mullins II","Orioles","33.0%","68.1%","48.0%","70.2%","85.1%","79.2%","42.7%","59.5%","10.0%","17929"
"Luke Voit","Yankees","33.3%","81.2%","52.1%","60.9%","83.1%","74.5%","39.2%","65.8%","13.3%","14811"
"Anthony Rizzo","Cubs","33.3%","56.9%","42.4%","71.8%","92.6%","82.5%","38.4%","54.7%","7.4%","3473"
"Jay Bruce","Phillies","33.3%","83.6%","53.4%","53.0%","84.1%","72.4%","39.9%","60.2%","14.7%","9892"
"Ketel Marte","Diamondbacks","33.3%","60.8%","45.0%","79.7%","93.3%","87.5%","42.6%","60.0%","5.6%","13613"
"Chad Pinder","Athletics","33.3%","77.2%","51.3%","59.1%","91.5%","79.1%","41.1%","67.2%","10.7%","15191"
"Pete Alonso","Mets","33.4%","66.7%","46.1%","54.2%","85.6%","71.5%","38.1%","60.7%","13.1%","19251"
"Johan Camargo","Braves","33.5%","71.1%","48.5%","63.6%","72.7%","68.9%","39.8%","53.5%","15.1%","14950"
"Ildemaro Vargas","- - -","33.6%","53.9%","42.4%","73.3%","89.1%","82.0%","43.2%","46.3%","7.6%","13324"
"Alex Dickerson","Giants","33.7%","76.6%","50.3%","65.6%","87.2%","78.4%","38.8%","50.6%","10.9%","12649"
"A.J. Pollock","Dodgers","33.7%","66.5%","47.7%","61.1%","90.6%","78.7%","42.8%","68.1%","10.2%","9256"
"Charlie Blackmon","Rockies","33.7%","70.7%","49.9%","65.1%","87.5%","79.0%","43.7%","64.4%","10.5%","7859"
"Corey Seager","Dodgers","33.8%","84.8%","55.8%","53.5%","87.8%","76.0%","43.1%","63.4%","13.4%","13624"
"Christian Vazquez","Red Sox","33.8%","66.0%","47.8%","71.8%","84.3%","79.3%","43.4%","59.3%","9.9%","9774"
"Ryan McBroom","Royals","33.8%","63.2%","45.5%","47.3%","80.2%","65.5%","39.7%","57.6%","15.7%","16524"
"Nelson Cruz","Twins","33.8%","69.6%","47.6%","52.3%","80.2%","68.0%","38.5%","55.6%","15.2%","2434"
"Josh Naylor","- - -","33.9%","69.9%","48.4%","76.6%","93.5%","86.4%","40.3%","62.5%","6.6%","18839"
"Carlos Correa","Astros","33.9%","68.5%","47.0%","67.4%","88.8%","79.2%","37.6%","59.3%","9.8%","14162"
"Leury Garcia","White Sox","34.1%","65.0%","47.8%","65.1%","90.8%","80.6%","44.2%","65.1%","9.3%","5913"
"Jean Segura","Phillies","34.1%","64.4%","46.2%","68.6%","85.7%","78.1%","39.7%","64.1%","10.1%","5933"
"Kyle Farmer","Reds","34.1%","59.8%","44.3%","62.5%","87.5%","75.8%","39.5%","61.4%","10.7%","14813"
"Maikel Franco","Royals","34.2%","74.0%","49.9%","62.6%","86.2%","76.4%","39.5%","60.1%","11.8%","12179"
"Victor Robles","Nationals","34.2%","70.7%","49.2%","63.8%","80.9%","73.9%","41.1%","67.2%","12.8%","18363"
"J.D. Martinez","Red Sox","34.2%","77.2%","51.9%","58.0%","83.5%","73.6%","41.1%","61.2%","13.7%","6184"
"Francisco Lindor","Indians","34.3%","71.6%","48.6%","70.3%","88.9%","80.8%","38.4%","56.8%","9.3%","12916"
"Jose Osuna","Pirates","34.3%","77.2%","51.9%","50.0%","88.8%","73.8%","41.2%","61.0%","13.6%","12937"
"Teoscar Hernandez","Blue Jays","34.3%","63.7%","46.4%","52.1%","76.9%","66.2%","41.3%","63.8%","15.7%","13066"
"Jake Cave","Twins","34.3%","67.7%","47.4%","47.6%","76.9%","64.0%","39.3%","52.0%","17.1%","14477"
"Chad Tromp","Giants","34.3%","69.5%","50.8%","56.5%","74.4%","68.0%","46.8%","73.4%","16.3%","16953"
"Willson Contreras","Cubs","34.4%","68.4%","47.6%","51.4%","81.0%","68.0%","38.9%","63.6%","15.3%","11609"
"Pat Valaika","Orioles","34.4%","73.4%","50.1%","52.1%","86.9%","72.6%","40.2%","54.7%","13.7%","14885"
"Adam Engel","White Sox","34.7%","69.4%","49.1%","58.6%","86.0%","74.7%","41.6%","59.1%","12.4%","15082"
"Andres Gimenez","Mets","34.7%","72.5%","50.1%","63.1%","86.5%","76.9%","40.7%","65.2%","11.6%","19950"
"Elias Diaz","Rockies","35.0%","77.6%","51.9%","61.4%","84.3%","75.0%","39.6%","53.4%","13.0%","11680"
"Keston Hiura","Brewers","35.0%","72.1%","50.1%","47.1%","67.9%","59.3%","40.6%","54.1%","20.4%","20003"
"Eric Thames","Nationals","35.1%","68.1%","48.4%","57.9%","81.9%","71.5%","40.5%","67.1%","13.8%","3711"
"Adam Duvall","Braves","35.1%","67.8%","49.0%","59.6%","84.8%","74.4%","42.5%","65.1%","12.5%","10950"
"Jose Martinez","- - -","35.1%","59.1%","44.2%","60.5%","85.2%","73.0%","37.8%","63.3%","11.9%","7996"
"Nolan Arenado","Rockies","35.1%","67.0%","48.2%","71.8%","93.6%","84.2%","40.8%","59.2%","7.6%","9777"
"Ronald Guzman","Rangers","35.2%","76.7%","52.0%","59.4%","79.4%","71.3%","40.4%","67.4%","14.9%","14388"
"Khris Davis","Athletics","35.3%","76.3%","53.5%","51.3%","76.3%","67.1%","44.5%","68.7%","17.6%","9112"
"Jacob Nottingham","Brewers","35.3%","74.4%","50.9%","45.8%","80.6%","66.1%","39.8%","59.3%","17.3%","16448"
"Jo Adell","Angels","35.4%","71.7%","50.8%","52.3%","66.5%","60.8%","42.6%","65.9%","19.9%","20220"
"Nomar Mazara","White Sox","35.4%","64.3%","46.5%","62.4%","86.1%","75.0%","38.5%","65.8%","11.6%","14553"
"Michael Chavis","Red Sox","35.4%","72.9%","51.6%","44.8%","79.6%","66.0%","43.2%","59.5%","17.5%","17321"
"Travis d'Arnaud","Braves","35.4%","69.1%","50.3%","54.5%","82.5%","71.5%","44.1%","67.9%","14.3%","7739"
"Luis Garcia","Nationals","35.5%","72.9%","49.7%","61.3%","81.4%","72.5%","38.0%","61.2%","13.7%","20391"
"Christian Walker","Diamondbacks","35.5%","75.2%","51.8%","60.7%","83.8%","74.5%","41.1%","60.5%","13.2%","13419"
"John Ryan Murphy","Pirates","35.6%","65.5%","49.0%","39.6%","69.4%","57.5%","44.9%","76.2%","20.8%","10346"
"Brandon Crawford","Giants","35.6%","79.0%","54.5%","51.0%","83.3%","71.4%","43.6%","64.8%","15.6%","5343"
"Bobby Dalbec","Red Sox","35.6%","69.9%","48.7%","35.7%","73.5%","56.5%","38.2%","62.0%","21.2%","19966"
"Jared Walsh","Angels","35.7%","69.9%","50.1%","70.4%","85.3%","79.2%","42.2%","53.7%","10.4%","18607"
"Ozzie Albies","Braves","35.7%","85.1%","58.2%","61.6%","84.9%","77.1%","45.6%","64.5%","13.3%","16556"
"Omar Narvaez","Brewers","35.7%","69.6%","48.8%","61.2%","82.6%","73.0%","38.7%","53.2%","13.2%","13338"
"Scott Kingery","Phillies","35.7%","72.2%","51.7%","61.7%","73.0%","68.6%","43.8%","60.5%","16.2%","17975"
"Pablo Sandoval","- - -","35.7%","78.4%","53.5%","67.6%","74.1%","71.6%","41.7%","58.5%","15.2%","5409"
"Lourdes Gurriel Jr.","Blue Jays","35.8%","72.0%","51.2%","63.2%","83.9%","75.6%","42.5%","68.8%","12.5%","19238"
"Miguel Andujar","Yankees","35.9%","70.2%","48.8%","69.6%","89.4%","80.3%","37.6%","52.3%","9.6%","15878"
"Jesus Aguilar","Marlins","36.0%","63.6%","47.4%","66.7%","90.5%","79.9%","41.3%","55.1%","9.5%","11342"
"Edwin Rios","Dodgers","36.0%","70.2%","50.2%","41.9%","81.2%","64.6%","41.3%","62.7%","17.7%","18316"
"Jorge Bonifacio","Tigers","36.1%","79.5%","53.8%","48.1%","82.5%","68.8%","40.8%","73.4%","16.8%","12174"
"Jon Jay","Diamondbacks","36.2%","65.2%","49.0%","64.3%","90.0%","79.4%","44.2%","59.6%","10.1%","5227"
"Aristides Aquino","Reds","36.3%","69.9%","47.5%","52.8%","78.4%","65.4%","33.3%","69.6%","16.4%","15482"
"Jose Abreu","White Sox","36.4%","68.1%","48.5%","58.9%","82.4%","71.5%","38.2%","59.2%","13.8%","15676"
"Adam Eaton","Nationals","36.5%","68.6%","49.8%","73.6%","94.8%","85.7%","41.5%","60.8%","7.1%","11205"
"Mauricio Dubon","Giants","36.5%","77.9%","53.8%","68.1%","82.4%","76.8%","41.9%","63.8%","12.5%","16530"
"Tim Lopes","Mariners","36.5%","77.7%","53.9%","60.0%","78.7%","71.4%","42.4%","62.3%","15.4%","14137"
"Rougned Odor","Rangers","36.5%","68.7%","49.8%","65.4%","86.4%","77.4%","41.4%","66.9%","11.3%","12282"
"J.T. Riddle","Pirates","36.5%","80.4%","55.7%","66.0%","80.2%","75.0%","43.9%","62.3%","13.9%","17642"
"Corey Dickerson","Marlins","36.5%","74.3%","53.3%","70.9%","79.9%","76.5%","44.4%","59.5%","12.5%","10762"
"Christin Stewart","Tigers","36.6%","72.9%","51.2%","58.8%","76.1%","68.7%","40.1%","54.5%","16.0%","17714"
"Jonathan Villar","- - -","36.8%","74.1%","51.3%","56.9%","81.9%","70.9%","38.9%","66.2%","14.9%","10071"
"Edward Olivares","- - -","36.9%","69.9%","50.5%","67.8%","84.5%","77.3%","41.3%","67.3%","11.4%","19698"
"Eduardo Escobar","Diamondbacks","36.9%","72.2%","51.3%","66.7%","89.1%","79.6%","40.8%","64.0%","10.5%","6153"
"Yan Gomes","Nationals","37.0%","65.7%","49.6%","70.2%","84.6%","78.6%","44.0%","68.9%","10.6%","9627"
"Didi Gregorius","Phillies","37.1%","74.5%","53.0%","70.8%","89.5%","82.0%","42.6%","61.6%","9.5%","6012"
"Austin Riley","Braves","37.1%","79.6%","54.1%","57.0%","83.3%","72.5%","40.0%","65.0%","14.9%","18360"
"Dominic Smith","Mets","37.1%","73.1%","51.9%","64.2%","84.6%","76.1%","41.2%","54.3%","12.4%","15653"
"Daniel Murphy","Rockies","37.1%","72.2%","53.2%","79.6%","93.2%","88.0%","45.8%","59.1%","6.4%","4316"
"Eric Hosmer","Padres","37.2%","69.4%","50.2%","71.7%","91.8%","82.9%","40.2%","63.5%","8.6%","3516"
"Randal Grichuk","Blue Jays","37.3%","72.6%","51.8%","70.2%","84.3%","78.3%","41.1%","63.2%","11.2%","10243"
"Rowdy Tellez","Blue Jays","37.3%","69.9%","50.1%","66.0%","89.3%","78.7%","39.2%","63.8%","10.7%","15679"
"Anderson Tejeda","Rangers","37.3%","64.8%","49.8%","50.0%","71.6%","62.8%","45.5%","57.1%","18.5%","19909"
"Tzu-Wei Lin","Red Sox","37.5%","65.6%","49.3%","58.3%","85.2%","73.4%","42.1%","57.9%","13.1%","14678"
"Harold Castro","Tigers","37.5%","69.8%","51.3%","68.8%","86.6%","79.1%","42.9%","63.0%","10.7%","14691"
"Adalberto Mondesi","Royals","37.5%","78.0%","53.8%","47.9%","73.3%","62.7%","40.3%","61.8%","20.1%","13769"
"David Dahl","Rockies","37.6%","75.6%","55.0%","56.3%","80.9%","71.8%","45.8%","66.7%","15.5%","13744"
"Abraham Toro","Astros","37.6%","72.4%","52.3%","66.3%","87.6%","78.8%","42.3%","62.9%","11.1%","19844"
"Jose Iglesias","Orioles","37.7%","61.6%","48.6%","75.9%","93.1%","85.8%","45.6%","59.3%","6.9%","10231"
"Matt Adams","Braves","37.7%","74.7%","53.1%","58.7%","84.6%","73.9%","41.6%","58.8%","13.9%","9393"
"Wilson Ramos","Mets","37.7%","79.0%","54.8%","64.1%","85.0%","76.6%","41.4%","59.4%","12.9%","1433"
"Christian Arroyo","- - -","37.8%","73.7%","51.8%","62.2%","87.5%","76.2%","39.0%","55.6%","12.3%","16434"
"Yuli Gurriel","Astros","37.8%","65.9%","48.8%","76.9%","94.6%","86.2%","39.0%","65.7%","6.7%","19198"
"Starling Marte","- - -","38.0%","73.2%","51.9%","60.4%","89.0%","76.3%","39.5%","67.2%","12.3%","9241"
"Nicholas Castellanos","Reds","38.2%","74.9%","51.8%","49.1%","84.0%","67.8%","37.1%","61.6%","16.7%","11737"
"Jose Altuve","Astros","38.2%","68.4%","49.6%","70.2%","89.3%","80.2%","37.8%","67.1%","9.8%","5417"
"Austin Hays","Orioles","38.2%","61.4%","46.9%","71.1%","92.7%","81.7%","37.6%","67.2%","8.6%","19363"
"Robinson Chirinos","- - -","38.3%","63.8%","47.8%","61.3%","81.1%","71.1%","37.2%","63.4%","13.8%","3142"
"Gregory Polanco","Pirates","38.3%","72.9%","51.0%","47.0%","69.8%","59.0%","36.7%","63.2%","20.9%","12907"
"Scott Heineman","Rangers","38.3%","67.9%","51.3%","53.7%","93.0%","76.5%","44.0%","70.4%","12.0%","14453"
"Jeff McNeil","Mets","38.5%","84.0%","56.8%","74.6%","90.1%","83.8%","40.3%","64.6%","9.2%","15362"
"Donovan Solano","Giants","38.7%","71.1%","51.9%","69.0%","89.4%","80.4%","40.8%","69.0%","10.2%","8623"
"Colin Moran","Pirates","38.7%","68.5%","49.7%","63.6%","85.8%","74.9%","36.8%","55.0%","12.5%","16909"
"Chris Davis","Orioles","38.8%","74.4%","53.4%","52.0%","76.1%","65.8%","41.1%","58.2%","18.3%","9272"
"Howie Kendrick","Nationals","38.8%","65.1%","50.4%","66.3%","93.6%","81.9%","44.1%","62.0%","9.1%","4229"
"Hunter Pence","Giants","38.8%","75.3%","53.8%","60.0%","80.3%","71.7%","41.1%","58.9%","15.2%","8252"
"Avisail Garcia","Brewers","38.8%","78.7%","54.6%","52.9%","78.7%","67.6%","39.5%","63.8%","17.7%","5760"
"Daz Cameron","Tigers","39.0%","63.4%","49.4%","60.4%","87.5%","75.2%","42.6%","69.5%","12.2%","18353"
"Erik Gonzalez","Pirates","39.0%","74.3%","53.4%","49.7%","85.5%","70.0%","40.7%","62.7%","16.0%","13369"
"Joey Wendle","Rays","39.3%","64.5%","49.6%","71.2%","94.4%","83.5%","41.0%","63.6%","8.2%","13853"
"Austin Romine","Tigers","39.5%","74.0%","53.6%","59.0%","84.9%","73.7%","41.0%","60.0%","14.1%","5491"
"Albert Pujols","Angels","39.6%","63.8%","49.2%","69.1%","89.8%","79.7%","39.5%","54.0%","10.0%","1177"
"Lewis Brinson","Marlins","39.8%","70.5%","52.2%","58.8%","79.5%","70.1%","40.3%","67.0%","15.6%","14352"
"Tyler Naquin","Indians","40.3%","81.2%","57.0%","59.2%","79.8%","71.1%","40.7%","61.0%","16.4%","13359"
"Amed Rosario","Mets","40.3%","65.9%","51.5%","66.4%","86.8%","77.8%","43.7%","63.9%","11.5%","15518"
"Josh Fuentes","Rockies","40.4%","75.8%","55.4%","61.4%","86.9%","76.2%","42.5%","62.1%","13.2%","16885"
"Javier Baez","Cubs","40.6%","73.0%","52.9%","52.0%","74.6%","63.8%","38.0%","62.6%","19.1%","12979"
"Aledmys Diaz","Astros","40.7%","68.9%","54.2%","63.0%","83.1%","75.2%","47.7%","61.0%","13.4%","15937"
"Anthony Santander","Orioles","40.8%","74.3%","52.3%","73.4%","83.3%","78.2%","34.3%","60.0%","11.4%","14551"
"Kevin Pillar","- - -","41.1%","66.4%","51.9%","63.1%","86.4%","75.8%","42.7%","58.3%","12.5%","12434"
"Eloy Jimenez","White Sox","41.1%","76.4%","54.3%","62.8%","81.7%","72.8%","37.4%","63.7%","14.8%","17484"
"Josh Harrison","Nationals","41.1%","73.7%","54.0%","74.7%","82.7%","79.0%","39.7%","53.8%","11.3%","8202"
"Willi Castro","Tigers","41.1%","75.1%","54.7%","59.1%","83.1%","72.3%","39.9%","59.3%","15.2%","17338"
"Adeiny Hechavarria","Braves","41.4%","82.2%","59.4%","69.8%","88.0%","80.9%","44.1%","71.4%","11.4%","10459"
"Jose  Garcia","Reds","42.0%","66.1%","52.0%","52.9%","71.1%","62.5%","41.5%","70.6%","19.5%","23378"
"Ryan Mountcastle","Orioles","42.0%","83.1%","58.8%","58.9%","82.5%","72.5%","41.0%","64.3%","16.2%","18373"
"Ryan Braun","Brewers","42.0%","70.6%","51.8%","59.9%","89.2%","73.5%","34.3%","63.8%","13.7%","3410"
"Jose Peraza","Red Sox","42.2%","74.8%","55.1%","70.5%","90.2%","81.1%","39.6%","70.0%","10.4%","13593"
"Dee Gordon","Mariners","42.3%","63.9%","51.2%","71.8%","92.1%","82.3%","41.5%","75.6%","9.1%","8203"
"Jonathan Schoop","Tigers","42.3%","77.1%","56.4%","58.6%","86.7%","74.1%","40.5%","58.2%","14.6%","11265"
"Rafael Devers","Red Sox","42.3%","75.1%","54.6%","65.0%","75.6%","70.5%","37.3%","64.9%","16.1%","17350"
"Bubba Starling","Royals","42.4%","58.8%","48.8%","50.7%","81.7%","65.4%","39.2%","70.3%","16.9%","13356"
"Renato Nunez","Orioles","42.4%","67.0%","52.1%","65.7%","79.1%","72.5%","39.3%","67.1%","14.3%","14503"
"Eddie Rosario","Twins","42.6%","69.0%","51.7%","72.0%","87.8%","79.2%","34.3%","57.6%","10.7%","12155"
"Yadier Molina","Cardinals","42.7%","73.6%","54.9%","66.0%","88.9%","78.1%","39.5%","66.0%","12.0%","7007"
"Joey Bart","Giants","42.9%","64.4%","51.7%","59.6%","74.6%","67.3%","41.1%","68.5%","16.9%","21524"
"Luis Robert","White Sox","43.1%","82.2%","57.3%","47.1%","74.5%","61.4%","36.3%","67.4%","22.1%","20043"
"Tim Anderson","White Sox","43.6%","73.0%","55.2%","62.8%","78.9%","71.2%","39.6%","62.9%","15.9%","15172"
"Robinson Cano","Mets","43.6%","79.2%","57.5%","69.6%","92.0%","81.6%","39.0%","64.3%","10.6%","3269"
"Victor Reyes","Tigers","43.8%","69.4%","54.1%","64.8%","83.6%","74.4%","40.0%","61.5%","13.8%","15487"
"Thairo Estrada","Yankees","44.3%","76.4%","58.3%","58.8%","85.3%","73.9%","43.6%","59.6%","15.2%","16426"
"Stephen Piscotty","Athletics","45.3%","78.2%","58.7%","57.6%","78.1%","68.7%","40.6%","69.0%","18.4%","13367"
"Bo Bichette","Blue Jays","45.5%","73.6%","57.0%","66.1%","91.5%","79.6%","40.9%","71.9%","11.7%","19612"
"Salvador Perez","Royals","47.2%","78.5%","58.8%","62.9%","89.0%","75.8%","37.1%","65.4%","14.2%","7304"
"Jorge Alfaro","Marlins","49.1%","79.8%","60.2%","42.1%","77.8%","59.2%","36.3%","59.0%","24.6%","12180"
"Byron Buxton","Twins","51.2%","80.4%","64.3%","56.0%","86.3%","73.0%","44.9%","70.4%","17.4%","14161"
"Hanser Alberto","Orioles","54.0%","73.1%","61.7%","80.3%","91.1%","85.5%","40.5%","64.1%","8.9%","11902"
